id,educ,maeduc,paeduc
2035,12,10,12
2036,12,12,12
2037,14,12,6
2038,16,16,16
2039,12,12,8
2040,12,12,12
2048,16,12,15
2049,12,12,16
2050,17,16,20
2053,15,16,16
2057,12,9,7
2058,14,16,11
2067,13,12,8
2069,15,12,16
2070,12,12,8
2071,12,12,5
2072,18,12,12
2074,16,13,3
2076,12,12,12
2077,16,8,7
2079,17,12,12
2080,13,12,13
2082,12,5,0
2084,11,12,12
2087,12,7,5
2089,17,14,13
2091,16,10,8
2092,16,14,16
2094,17,12,13
2095,13,10,10
2097,19,12,16
2098,16,10,12
2100,15,12,12
2101,14,8,3
2108,20,12,16
2109,16,13,18
2110,12,12,12
2111,14,12,16
2112,16,11,12
2113,11,12,12
2114,12,12,12
2115,16,10,12
2118,14,20,12
2120,16,16,20
2121,16,18,16
2122,16,12,12
2123,16,12,12
2124,19,14,18
2125,12,8,12
2126,15,15,16
2127,16,12,16
2129,18,18,7
2131,16,12,16
2132,20,5,3
2134,12,14,12
2135,18,14,14
2141,20,8,8
2142,16,16,16
2143,16,16,20
2144,12,13,8
2148,16,12,12
2150,16,10,10
2151,18,16,16
2152,16,12,16
2153,17,12,14
2154,16,16,12
2156,18,12,16
2157,14,12,12
2158,14,12,12
2159,18,12,12
2160,12,12,12
2161,14,16,16
2162,16,16,16
2163,12,9,11
2164,16,12,12
2165,20,13,14
2166,12,12,12
2169,12,12,6
2170,6,2,2
2172,16,12,16
2173,14,14,8
2175,14,16,18
2176,11,12,12
2177,17,12,12
2178,16,12,12
2179,12,7,12
2183,10,6,8
2184,15,12,12
2186,16,12,18
2187,18,6,6
2191,20,5,7
2194,13,15,10
2195,20,13,14
2197,14,6,9
2198,12,12,12
2201,20,7,14
2202,14,12,12
2204,15,12,12
2205,11,16,12
2207,18,14,14
2209,18,14,17
2210,13,12,12
2212,18,10,10
2215,18,6,16
2217,18,12,12
2220,14,12,12
2221,15,0,20
2222,14,16,16
2223,13,12,12
2224,14,14,12
2225,20,16,16
2228,9,6,2
2231,14,6,12
2232,14,12,12
2233,16,16,16
2234,16,12,12
